job_id,job_title,company_name,required_skills,location,salary,job_type,experience_level,remote,job_description,requirements
KG-100111,Data Analyst,SAP,"Marketing, NumPy, Kubernetes","New York, USA",360.03 USD/month,Contract,Senior,No,"This role requires strong skills in Marketing, NumPy, Kubernetes. Batken Transport offers a Contract position located in Kara-Balta.","Marketing, NumPy, Kubernetes"
KG-100420,Full Stack Developer,Sony,"Project Management, Construction, Customer Service, Java","London, UK",192.17 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Project Management, Construction, Customer Service, Java. Central Hospital offers a Full-time position located in Kant.","Project Management, Construction, Customer Service, Java"
KG-100566,Product Manager (Tech),Oracle,"NumPy, SQL, Azure, Customer Service, Construction","Berlin, Germany",,Full-time,Mid-level,No,"This role requires strong skills in NumPy, SQL, Azure, Customer Service, Construction. AitikSoft offers a Full-time position located in Tokmok.","NumPy, SQL, Azure, Customer Service, Construction"
KG-100078,Data Analyst,Google,"Docker, C#, Communication","Sydney, Australia",421.45 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Docker, C#, Communication. Naryn Energy offers a Full-time position located in Kant.","Docker, C#, Communication"
KG-100182,Backend Developer,Meta,"SQL, React, Tableau, Kubernetes, Construction","Tokyo, Japan",334.72 USD/month,Full-time,Junior,No,"This role requires strong skills in SQL, React, Tableau, Kubernetes, Construction. Osh Logistics offers a Full-time position located in Tokmok.","SQL, React, Tableau, Kubernetes, Construction"
KG-100285,Cloud Engineer,Apple,"Power BI, Teaching, Sales","Tokyo, Japan",503.09 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Power BI, Teaching, Sales. KyrgyzTrade offers a Full-time position located in Jalal-Abad.","Power BI, Teaching, Sales"
KG-100011,Database Administrator,Amazon,"SQL, Flask, Pandas, AWS","New York, USA",,Full-time,Junior,No,"This role requires strong skills in SQL, Flask, Pandas, AWS. EduFuture offers a Full-time position located in Karakol.","SQL, Flask, Pandas, AWS"
KG-100470,Automation Tester,Intel,"Kubernetes, Flask, Project Management","Amsterdam, Netherlands",481.54 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Kubernetes, Flask, Project Management. Batken Transport offers a Full-time position located in Kant.","Kubernetes, Flask, Project Management"
KG-100079,Automation Tester,Siemens,"Project Management, JavaScript","Tokyo, Japan",296.88 USD/month,Internship,Junior,No,"This role requires strong skills in Project Management, JavaScript. Naryn Energy offers a Internship position located in Osh.","Project Management, JavaScript"
KG-100350,Frontend Developer,Microsoft,"Docker, React, Sales","Tokyo, Japan",147.55 USD/month,Full-time,,Yes,"This role requires strong skills in Docker, React, Sales. Osh Logistics offers a Full-time position located in Kara-Balta.","Docker, React, Sales"
KG-100056,Machine Learning Engineer,Amazon,"Azure, Kubernetes, JavaScript",Singapore,754.39 USD/month,Part-time,Senior,No,"This role requires strong skills in Azure, Kubernetes, JavaScript. BishTech offers a Part-time position located in Tokmok.","Azure, Kubernetes, JavaScript"
KG-100119,Cloud Engineer,IBM,"AWS, C#, Git","Paris, France",180.29 USD/month,Contract,Mid-level,No,"This role requires strong skills in AWS, C#, Git. BishTech offers a Contract position located in Bishkek.","AWS, C#, Git"
KG-100110,Product Manager (Tech),Microsoft,"Excel, JavaScript",Singapore,437.35 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Excel, JavaScript. GlobalDev KG offers a Full-time position located in Kara-Balta.","Excel, JavaScript"
KG-100589,QA Engineer,SAP,"Construction, Teaching, Kubernetes","Sydney, Australia",277.66 USD/month,Full-time,Senior,No,"This role requires strong skills in Construction, Teaching, Kubernetes. Batken Transport offers a Full-time position located in Naryn.","Construction, Teaching, Kubernetes"
KG-100370,Cloud Engineer,Amazon,"Marketing, Kubernetes, Java","Paris, France",,Full-time,Mid-level,No,"This role requires strong skills in Marketing, Kubernetes, Java. Naryn Energy offers a Full-time position located in Tokmok.","Marketing, Kubernetes, Java"
KG-100235,Database Administrator,Meta,"Customer Service, Sales, Project Management","London, UK",905.47 USD/month,Full-time,,No,"This role requires strong skills in Customer Service, Sales, Project Management. BishTech offers a Full-time position located in Jalal-Abad.","Customer Service, Sales, Project Management"
KG-100031,Mobile App Developer,SAP,"Teaching, Project Management, Flask, Linux","Paris, France",137.49 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Teaching, Project Management, Flask, Linux. GreenBuild offers a Full-time position located in Kant.","Teaching, Project Management, Flask, Linux"
KG-100213,Network Administrator,Oracle,"Customer Service, Django, React","Tokyo, Japan",651.89 USD/month,Full-time,,Yes,"This role requires strong skills in Customer Service, Django, React. Alatoo Bank offers a Full-time position located in Tokmok.","Customer Service, Django, React"
KG-100185,Machine Learning Engineer,Cisco,"Power BI, Construction, Teaching","New York, USA",146.03 USD/month,Full-time,Junior,No,"This role requires strong skills in Power BI, Construction, Teaching. SkyEdu KG offers a Full-time position located in Osh.","Power BI, Construction, Teaching"
KG-100087,QA Engineer,SAP,"Marketing, Tableau","New York, USA",409.36 USD/month,Part-time,,No,"This role requires strong skills in Marketing, Tableau. Batken Transport offers a Part-time position located in Kara-Balta.","Marketing, Tableau"
KG-100003,Network Administrator,Oracle,"Power BI, NumPy, Docker, Pandas","Sydney, Australia",794.01 USD/month,Contract,Senior,No,"This role requires strong skills in Power BI, NumPy, Docker, Pandas. HR Solutions KG offers a Contract position located in Naryn.","Power BI, NumPy, Docker, Pandas"
KG-100588,Mobile App Developer,Capgemini,"Power BI, Docker, NumPy, Django","New York, USA",2718.6 USD/month,Internship,Junior,Yes,"This role requires strong skills in Power BI, Docker, NumPy, Django. Batken Transport offers a Internship position located in Kant.","Power BI, Docker, NumPy, Django"
KG-100536,Product Manager (Tech),IBM,"Marketing, Teaching, Power BI, Project Management","Paris, France",180.79 USD/month,Full-time,Junior,No,"This role requires strong skills in Marketing, Teaching, Power BI, Project Management. GlobalDev KG offers a Full-time position located in Kant.","Marketing, Teaching, Power BI, Project Management"
KG-100597,UI/UX Designer,Apple,"Azure, Accounting, Power BI, Sales, C#","Berlin, Germany",538.07 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Azure, Accounting, Power BI, Sales, C#. Talas Agro offers a Full-time position located in Naryn.","Azure, Accounting, Power BI, Sales, C#"
KG-100369,Database Administrator,Meta,"Azure, React, Sales",Singapore,389.98 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Azure, React, Sales. KyrgyzTrade offers a Full-time position located in Kant.","Azure, React, Sales"
KG-100540,Full Stack Developer,Microsoft,"JavaScript, Excel, Azure","Amsterdam, Netherlands",227.09 USD/month,Full-time,Junior,No,"This role requires strong skills in JavaScript, Excel, Azure. CloudKyrgyz offers a Full-time position located in Karakol.","JavaScript, Excel, Azure"
KG-100073,Cybersecurity Specialist,Siemens,"AWS, Azure, Python, React",Singapore,235.57 USD/month,Full-time,Mid-level,Yes,"This role requires strong skills in AWS, Azure, Python, React. AitikSoft offers a Full-time position located in Jalal-Abad.","AWS, Azure, Python, React"
KG-100136,UI/UX Designer,Oracle,"Project Management, Sales, Marketing",Singapore,5717.16 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Project Management, Sales, Marketing. AitikSoft offers a Full-time position located in Karakol.","Project Management, Sales, Marketing"
KG-100557,Systems Engineer,SAP,"Docker, JavaScript, Git, Flask","Paris, France",189.1 USD/month,Contract,Mid-level,No,"This role requires strong skills in Docker, JavaScript, Git, Flask. SilkRoad Foods offers a Contract position located in Batken.","Docker, JavaScript, Git, Flask"
KG-100438,Product Manager (Tech),Cisco,"Flask, NumPy","Toronto, Canada",175.13 USD/month,Part-time,Mid-level,No,"This role requires strong skills in Flask, NumPy. BishTech offers a Part-time position located in Osh.","Flask, NumPy"
KG-100596,Systems Engineer,Cisco,"Excel, Customer Service","Amsterdam, Netherlands",,Contract,Junior,No,"This role requires strong skills in Excel, Customer Service. SilkRoad Foods offers a Contract position located in Batken.","Excel, Customer Service"
KG-100164,Cloud Engineer,Google,"Communication, Accounting, Customer Service","London, UK",368.64 USD/month,Full-time,Junior,No,"This role requires strong skills in Communication, Accounting, Customer Service. Central Hospital offers a Full-time position located in Jalal-Abad.","Communication, Accounting, Customer Service"
KG-100083,Software Engineer,Sony,"C#, Java, Communication",Singapore,3274.37 USD/month,Full-time,Junior,No,"This role requires strong skills in C#, Java, Communication. Osh Logistics offers a Full-time position located in Tokmok.","C#, Java, Communication"
KG-100258,IT Support Specialist,Cisco,"Marketing, NumPy, Communication, Flask","New York, USA",256.29 USD/month,Full-time,Senior,No,"This role requires strong skills in Marketing, NumPy, Communication, Flask. Central Hospital offers a Full-time position located in Kant.","Marketing, NumPy, Communication, Flask"
KG-100193,DevOps Engineer,Meta,"Django, Kubernetes","Sydney, Australia",206.13 USD/month,Full-time,Junior,No,"This role requires strong skills in Django, Kubernetes. HR Solutions KG offers a Full-time position located in Kant.","Django, Kubernetes"
KG-100454,DevOps Engineer,Apple,"Python, Java, Teaching","Berlin, Germany",221.03 USD/month,Contract,Mid-level,No,"This role requires strong skills in Python, Java, Teaching. AitikSoft offers a Contract position located in Osh.","Python, Java, Teaching"
KG-100133,Data Analyst,SAP,"Linux, Git, NumPy","Amsterdam, Netherlands",459.47 USD/month,Contract,Mid-level,No,"This role requires strong skills in Linux, Git, NumPy. Central Hospital offers a Contract position located in Naryn.","Linux, Git, NumPy"
KG-100516,Frontend Developer,Sony,"Linux, Marketing, Accounting, NumPy, Communication","Tokyo, Japan",711.55 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Linux, Marketing, Accounting, NumPy, Communication. Osh Logistics offers a Full-time position located in Tokmok.","Linux, Marketing, Accounting, NumPy, Communication"
KG-100442,Systems Engineer,Oracle,"Customer Service, Python, Accounting","Paris, France",4833.98 USD/month,Full-time,,No,"This role requires strong skills in Customer Service, Python, Accounting. CloudKyrgyz offers a Full-time position located in Tokmok.","Customer Service, Python, Accounting"
KG-100276,Data Scientist,SAP,"Communication, Sales, Tableau","Tokyo, Japan",574.06 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Communication, Sales, Tableau. DataMinds KG offers a Full-time position located in Jalal-Abad.","Communication, Sales, Tableau"
KG-100365,Machine Learning Engineer,IBM,"Flask, AWS, Kubernetes","London, UK",1190.81 USD/month,Internship,Junior,Yes,"This role requires strong skills in Flask, AWS, Kubernetes. Nomad Retail offers a Internship position located in Naryn.","Flask, AWS, Kubernetes"
KG-100030,Software Engineer,Oracle,"Pandas, Kubernetes, AWS, Power BI","London, UK",532.21 USD/month,Full-time,Mid-level,Yes,"This role requires strong skills in Pandas, Kubernetes, AWS, Power BI. Naryn Energy offers a Full-time position located in Kant.","Pandas, Kubernetes, AWS, Power BI"
KG-100507,Network Administrator,SAP,"Azure, Accounting, SQL","Berlin, Germany",3348.58 USD/month,Full-time,Senior,Yes,"This role requires strong skills in Azure, Accounting, SQL. Central Hospital offers a Full-time position located in Talas.","Azure, Accounting, SQL"
KG-100571,Automation Tester,Deloitte,"Kubernetes, Django, Java","Tokyo, Japan",,Full-time,Junior,No,"This role requires strong skills in Kubernetes, Django, Java. GreenBuild offers a Full-time position located in Jalal-Abad.","Kubernetes, Django, Java"
KG-100025,Database Administrator,IBM,"Docker, Marketing, Communication","New York, USA",122.08 USD/month,Full-time,Junior,No,"This role requires strong skills in Docker, Marketing, Communication. Batken Transport offers a Full-time position located in Talas.","Docker, Marketing, Communication"
KG-100183,UI/UX Designer,Sony,"Kubernetes, Power BI, Linux","Berlin, Germany",,Full-time,Junior,No,"This role requires strong skills in Kubernetes, Power BI, Linux. HR Solutions KG offers a Full-time position located in Batken.","Kubernetes, Power BI, Linux"
KG-100474,Frontend Developer,Deloitte,"AWS, Project Management, C#","Tokyo, Japan",544.79 USD/month,Contract,Senior,Yes,"This role requires strong skills in AWS, Project Management, C#. HR Solutions KG offers a Contract position located in Tokmok.","AWS, Project Management, C#"
KG-100105,Machine Learning Engineer,Google,"Git, Kubernetes","Paris, France",150.21 USD/month,Full-time,Junior,No,"This role requires strong skills in Git, Kubernetes. Batken Transport offers a Full-time position located in Kara-Balta.","Git, Kubernetes"
KG-100064,Cloud Engineer,Deloitte,"Kubernetes, Sales","London, UK",,Full-time,Senior,Yes,"This role requires strong skills in Kubernetes, Sales. Sunrise Marketing offers a Full-time position located in Batken.","Kubernetes, Sales"
KG-100491,Cloud Engineer,Microsoft,"Kubernetes, Git, Docker","New York, USA",174.89 USD/month,Full-time,Junior,No,"This role requires strong skills in Kubernetes, Git, Docker. Sunrise Marketing offers a Full-time position located in Karakol.","Kubernetes, Git, Docker"
KG-100246,Mobile App Developer,Apple,"Construction, Tableau, Docker","Berlin, Germany",491.7 USD/month,Full-time,Senior,Yes,"This role requires strong skills in Construction, Tableau, Docker. Osh Logistics offers a Full-time position located in Bishkek.","Construction, Tableau, Docker"
